,index,Unnamed: 0,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
57,452,452,600585.XSHG,600585,海螺水泥,XSHG,2021-03-31,51.6,51.6,51.69,51.77,50.91,51.22,17789612,910355947,39739,0.0044,1.0,204864767172.0,271430279172.0,-0.0074,7.7265,7.7265,1.6773,1,51.173
58,453,453,600585.XSHG,600585,海螺水泥,XSHG,2021-04-01,51.22,51.22,51.4,51.42,51.0,51.42,16655179,852512289,35674,0.0042,1.0,205664707692.0,272490139692.0,0.0039,7.7567,7.7567,1.6839,1,51.18600000000001
59,454,454,600585.XSHG,600585,海螺水泥,XSHG,2021-04-02,51.42,51.42,51.42,51.5,51.11,51.33,17209383,882026760,36693,0.0043,1.0,205304734458.0,272013202458.0,-0.0018,7.7431,7.7431,1.6809,1,51.253
60,455,455,600585.XSHG,600585,海螺水泥,XSHG,2021-04-06,51.33,51.33,51.36,51.49,51.05,51.1,18397249,941278586,37564,0.0046,1.0,204384802860.0,270794362860.0,-0.0045,7.7084,7.7084,1.6734,1,51.163999999999994
61,456,456,600585.XSHG,600585,海螺水泥,XSHG,2021-04-07,51.1,51.1,50.9,51.65,50.2,51.63,31300922,1589415177,72580,0.0078,1.0,206504645238.0,273602993238.0,0.0104,7.7884,7.7884,1.6908,1,50.778999999999996
62,457,457,600585.XSHG,600585,海螺水泥,XSHG,2021-04-08,51.63,51.63,51.4,51.41,50.9,51.18,17938003,916963209,41936,0.0045,1.0,204704779068.0,271218307068.0,-0.0087,7.7205,7.7205,1.676,1,51.118
63,458,458,600585.XSHG,600585,海螺水泥,XSHG,2021-04-09,51.18,51.18,51.18,51.18,50.48,50.66,16192563,821219167,40270,0.004,1.0,202624933716.0,268462669716.0,-0.0102,7.642,7.642,1.659,1,50.716
64,459,459,600585.XSHG,600585,海螺水泥,XSHG,2021-04-12,50.66,50.66,50.66,50.74,50.21,50.22,17070324,859152353,38184,0.0043,1.0,200865064572.0,266130976572.0,-0.0087,7.5757,7.5757,1.6446,1,50.33
65,460,460,600585.XSHG,600585,海螺水泥,XSHG,2021-04-13,50.22,50.22,50.22,50.43,49.85,50.01,16998408,851164764,40027,0.0042,1.0,200025127026.0,265018123026.0,-0.0042,7.544,7.544,1.6377,1,50.073
66,461,461,600585.XSHG,600585,海螺水泥,XSHG,2021-04-14,50.01,50.01,50.25,50.46,50.06,50.34,11078849,557012450,24262,0.0028,1.0,201345028884.0,266766892884.0,0.0066,7.5938,7.5938,1.6485,1,50.277
67,462,462,600585.XSHG,600585,海螺水泥,XSHG,2021-04-15,50.34,50.34,50.31,50.31,49.7,49.95,13325809,665340912,30809,0.0033,1.0,199785144870.0,264700164870.0,-0.0077,7.5349,7.5349,1.6357,1,49.928999999999995
68,463,463,600585.XSHG,600585,海螺水泥,XSHG,2021-04-16,49.95,49.95,49.98,50.5,49.96,50.39,11156221,560176540,25846,0.0028,1.0,201545014014.0,267031858014.0,0.0088,7.6013,7.6013,1.6502,1,50.211999999999996
69,464,464,600585.XSHG,600585,海螺水泥,XSHG,2021-04-19,50.39,50.39,50.39,50.81,50.1,50.78,18775401,950211615,37963,0.0047,1.0,203104898028.0,269098586028.0,0.0077,7.6601,7.6601,1.6629,1,50.608999999999995
70,465,465,600585.XSHG,600585,海螺水泥,XSHG,2021-04-20,50.78,50.78,50.9,50.91,50.47,50.5,15800227,799764086,30430,0.004,1.0,201984981300.0,267614781300.0,-0.0055,7.6179,7.6179,1.6538,1,50.617
71,466,466,600585.XSHG,600585,海螺水泥,XSHG,2021-04-21,50.5,50.5,50.4,50.4,49.9,50.2,14897503,746875436,32159,0.0037,1.0,200785070520.0,266024990520.0,-0.0059,7.5727,7.5727,1.6439,1,50.13399999999999
72,467,467,600585.XSHG,600585,海螺水泥,XSHG,2021-04-22,50.2,50.2,50.15,50.37,50.0,50.12,12540887,628409478,29125,0.0031,1.0,200465094312.0,265601046312.0,-0.0016,7.3727,11.4313,1.5855,1,50.108999999999995
73,468,468,600585.XSHG,600585,海螺水泥,XSHG,2021-04-23,50.12,50.12,50.12,50.26,49.96,50.05,17302612,865710799,37901,0.0043,1.0,200185115130.0,265230095130.0,-0.0014,7.3624,11.4154,1.5833,1,50.034
74,469,469,600585.XSHG,600585,海螺水泥,XSHG,2021-04-26,50.05,50.05,50.03,50.3,49.5,49.57,24406139,1217925109,51943,0.0061,1.0,198265257882.0,262686429882.0,-0.0096,7.2918,11.3059,1.5681,1,49.902
75,470,470,600585.XSHG,600585,海螺水泥,XSHG,2021-04-27,49.57,49.57,49.48,49.49,48.8,48.88,21892521,1071178031,54451,0.0055,1.0,195505463088.0,259029911088.0,-0.0139,7.1903,11.1485,1.5462,1,48.928999999999995
76,471,471,600585.XSHG,600585,海螺水泥,XSHG,2021-04-28,48.88,48.88,49.01,49.92,49.0,49.46,15671387,774082609,35270,0.0039,1.0,197825290596.0,262103506596.0,0.0119,7.2756,11.2808,1.5646,1,49.395
77,472,472,600585.XSHG,600585,海螺水泥,XSHG,2021-04-29,49.46,49.46,49.51,49.8,49.13,49.74,14678050,728154471,30576,0.0037,1.0,198945207324.0,263587311324.0,0.0057,7.3168,11.3447,1.5735,1,49.608000000000004
78,473,473,600585.XSHG,600585,海螺水泥,XSHG,2021-04-30,49.74,49.74,49.5,49.71,48.95,49.03,17789852,875765135,39494,0.0044,1.0,196105418478.0,259824806478.0,-0.0143,7.2123,11.1827,1.551,1,49.228
